"sentence","startTime","endTime","speaker_id","speaker_name"
"Hey.","00:01","00:01",0,"Steve Simpson"
"Hi, Matt.","00:03","00:04",0,"Steve Simpson"
"How are you doing?","00:04","00:06",0,"Steve Simpson"
"Very well.","00:06","00:06",0,"Steve Simpson"
"And yourself?","00:06","00:07",0,"Steve Simpson"
"Doing well.","00:08","00:09",1,"Matt Yonkman"
"It's Friday, so I can't really complain.","00:09","00:11",1,"Matt Yonkman"
"Yeah.","00:13","00:13",0,"Steve Simpson"
"Quite the art collection back there.","00:13","00:15",0,"Steve Simpson"
"Thanks.","00:16","00:17",0,"Steve Simpson"
"Yeah.","00:19","00:20",0,"Steve Simpson"
"Let me see if Levi is gonna pop in.","00:20","00:22",1,"Matt Yonkman"
"Yeah, it looks like it's recording, so it should be good there.","00:30","00:32",1,"Matt Yonkman"
"Yeah, thanks for arranging that.","00:35","00:36",0,"Steve Simpson"
"I messaged Levi.","00:47","00:48",1,"Matt Yonkman"
"I don't know if I think he's planning on coming.","00:49","00:51",1,"Matt Yonkman"
"Maybe he's getting to his computer.","00:51","00:53",1,"Matt Yonkman"
"Yeah.","00:56","00:56",0,"Steve Simpson"
"Hey, Steve.","00:57","00:58",2,"Levi Morehouse"
"Hey, Matt.","00:58","00:58",2,"Levi Morehouse"
"Hey.","01:01","01:02",0,"Steve Simpson"
"How are you guys doing?","01:02","01:04",1,"Matt Yonkman"
"Very well on yourself.","01:04","01:05",0,"Steve Simpson"
"Good.","01:05","01:05",0,"Steve Simpson"
"Happy Friday.","01:06","01:07",0,"Steve Simpson"
"Yeah, Happy Friday.","01:07","01:08",2,"Levi Morehouse"
"Excited to chat.","01:08","01:09",2,"Levi Morehouse"
"Yeah.","01:10","01:10",0,"Steve Simpson"
"Thanks for being so quick about setting this up.","01:10","01:12",0,"Steve Simpson"
"I'm not sure if your preference would be to kind of run it since you run the meeting, since you have the spreadsheets and are sharing, or if you'd like me to kind of kick things off.","01:13","01:23",0,"Steve Simpson"
"Happy to do either.","01:23","01:24",0,"Steve Simpson"
"Which means why don't we share what.","01:24","01:27",0,"Steve Simpson"
"We use and see how it makes sense to you in terms of what you've seen on the QuickBooks side and kind of go from there.","01:27","01:33",2,"Levi Morehouse"
"Awesome.","01:34","01:34",0,"Steve Simpson"
"Thank you, Matt.","01:34","01:37",2,"Levi Morehouse"
"You want to pull one of those up?","01:37","01:38",2,"Levi Morehouse"
"We can just kind of talk through it.","01:38","01:39",2,"Levi Morehouse"
"Yeah, let me get the right screen.","01:39","01:42",1,"Matt Yonkman"
"There it is.","01:48","01:48",1,"Matt Yonkman"
"Got a couple things.","01:57","01:58",1,"Matt Yonkman"
"So this is one of our forecasting tools where it's kind of vendor by vendor, major vendors, and kind of how they hit over the year, and then working with the client to kind of fill in revenue expectations up at the top.","02:02","02:17",1,"Matt Yonkman"
"Pull up another one here in a second too.","02:19","02:21",1,"Matt Yonkman"
"That's more like taking a budget and converting it into forecasting, basically.","02:22","02:28",1,"Matt Yonkman"
"But this is a general one that's worked pretty decently in most situations, especially putting in front of clients and getting their input.","02:31","02:39",1,"Matt Yonkman"
"I think it's easily digestible.","02:39","02:41",1,"Matt Yonkman"
"And if I can, I just engage.","02:48","02:51",0,"Steve Simpson"
"Is that okay?","02:51","02:52",0,"Steve Simpson"
"Yeah.","02:52","02:53",0,"Steve Simpson"
"Cool.","02:53","02:54",0,"Steve Simpson"
"So this is.","02:54","02:55",0,"Steve Simpson"
"The rows are bills that are coming in to a specific.","02:57","03:01",0,"Steve Simpson"
"Break it down.","03:04","03:05",2,"Levi Morehouse"
"Let's break it down real quick.","03:05","03:06",2,"Levi Morehouse"
"Let me.","03:06","03:07",2,"Levi Morehouse"
"Let me actually just tweak this spreadsheet as we look.","03:07","03:08",2,"Levi Morehouse"
"Go, go.","03:08","03:09",0,"Steve Simpson"
"And let's combine.","03:09","03:10",2,"Levi Morehouse"
"Go up to the top.","03:12","03:13",2,"Levi Morehouse"
"Yeah.","03:15","03:16",0,"Steve Simpson"
"Matt, I apologize.","03:16","03:17",0,"Steve Simpson"
"I'm not a cpa.","03:17","03:18",0,"Steve Simpson"
"So this is.","03:18","03:21",0,"Steve Simpson"
"If this is like the typical spreadsheet every CPA does or advisor does, it's all bespoke.","03:21","03:27",0,"Steve Simpson"
"So I want to make it more standardized as we talk it through.","03:27","03:31",2,"Levi Morehouse"
"I think I'll put it into some more sub.","03:31","03:32",2,"Levi Morehouse"
"High level categorization that might help us even if we just do these manually.","03:32","03:36",2,"Levi Morehouse"
"So under inflows, let's create a subcategory of like small and normal.","03:38","03:48",2,"Levi Morehouse"
"Matt, I don't know what we want to call that?","03:49","03:50",2,"Levi Morehouse"
"Like.","03:50","03:51",1,"Matt Yonkman"
"Yeah, recurring.","03:53","03:54",2,"Levi Morehouse"
"Like some orgs just have small contributions coming in all the time and that's like not a name donor.","03:54","04:00",2,"Levi Morehouse"
"And then let's have a second category for major gifts and then under major gifts let's collapse all those so we can plus button it.","04:00","04:13",2,"Levi Morehouse"
"I forget what they call that in.","04:14","04:15",2,"Levi Morehouse"
"Google sheets, but.","04:15","04:16",1,"Matt Yonkman"
"Yep, perfect.","04:22","04:23",2,"Levi Morehouse"
"So collapse that down and then let's add a column B and we can put a definition for Steve of what we do to get the data into each of these high level categories.","04:23","04:34",2,"Levi Morehouse"
"So recurring would be bank account trends and or revenue source.","04:39","04:44",2,"Levi Morehouse"
"Like a lot of times it's Stripe or PayPal or something like that where hey, what is the normal stripe per month?","04:44","04:50",2,"Levi Morehouse"
"Seasonally adjusted.","04:50","04:52",2,"Levi Morehouse"
"And like that's just little small gifts that add up.","04:53","04:56",2,"Levi Morehouse"
"And some orgs can rely on that, some can't.","04:56","04:59",2,"Levi Morehouse"
"But that's a thing that sometimes exists that's more generic.","04:59","05:03",2,"Levi Morehouse"
"Just looking at the data, taking some averages, maybe some trends, major gifts is where we would do one of two things.","05:03","05:14",2,"Levi Morehouse"
"Base it on pledges or accounts receivable.","05:14","05:19",2,"Levi Morehouse"
"And I would love to put on there a, a toggle that I would love Steve is to say we expect our AR to be received in the bank in 60 days, you know, or 40 days or whatever.","05:19","05:31",2,"Levi Morehouse"
"And that's going to impact the weeks that shows up coming in as cash as a forecast.","05:31","05:36",2,"Levi Morehouse"
"And those are actually named, they pull straight from the AR ledger as opposed to just bank activity and averages that make sense.","05:38","05:46",2,"Levi Morehouse"
"Yeah.","05:46","05:47",0,"Steve Simpson"
"And so then like even from a UI perspective I would have inflows be the only thing you see and it's got the estimated total for each week going forward for 13 weeks.","05:49","05:58",2,"Levi Morehouse"
"But you could expand that and see these two subcategories with the totals and then if you wanted to, you could expand that and get the detail beneath it.","05:58","06:05",2,"Levi Morehouse"
"Yep, perfect.","06:13","06:15",2,"Levi Morehouse"
"Then we go down to outflows and I like the same kind of idea Matt.","06:20","06:29",2,"Levi Morehouse"
"Like a generic standard outflow that's again seasonally adjusted like this what's the credit card spend and the you know, little achs that hit the bank, maybe small checks as kind of like one category.","06:29","06:43",2,"Levi Morehouse"
"Then I always like payroll or compensation as another category that would include payroll, retirement, health insurance like things that recur intend to have a pretty standard amount.","06:49","07:01",2,"Levi Morehouse"
"You can usually pull that straight off again the bank account activity like it tends to be, you can see the pay cycle, you can expect pretty accurately that the next date payroll is going to pull and into the future if it's biweekly, semi monthly, weekly, all the way down to the day it actually happens.","07:02","07:22",2,"Levi Morehouse"
"And then below that I would put like recurring vendors, recurring major vendors and that's a list.","07:26","07:35",2,"Levi Morehouse"
"And then I would do kind of one time vendors in the recurring you could base off sometimes they might ach you regularly.","07:35","07:43",2,"Levi Morehouse"
"Maybe it runs through AP as a normal bill.","07:43","07:45",2,"Levi Morehouse"
"So there's kind of like a couple sources you may run into.","07:45","07:47",2,"Levi Morehouse"
"Are you recording this Steve?","07:48","07:49",2,"Levi Morehouse"
"To capture all these notes I'm talking about?","07:49","07:51",2,"Levi Morehouse"
"Yeah, thankfully Matt was willing to provide that.","07:51","07:54",0,"Steve Simpson"
"Love it.","07:55","07:55",0,"Steve Simpson"
"Do it.","07:55","07:55",0,"Steve Simpson"
"Because I'm just going to talk a lot.","07:55","07:56",2,"Levi Morehouse"
"You can go listen back through but I think it'll, it'll help.","07:56","07:59",2,"Levi Morehouse"
"Then Matt doesn't have to like rapidly type notes in the, in that column.","07:59","08:02",2,"Levi Morehouse"
"And then I think you need to have a space and this is where the world gets made or broke and it's all about ui.","08:03","08:09",2,"Levi Morehouse"
"You need to have a space and a section map for like I don't know the title but like bespoke activity we know is going to happen into the future.","08:10","08:19",2,"Levi Morehouse"
"Hey, I don't have a bill yet.","08:20","08:21",2,"Levi Morehouse"
"I or I didn't enter the bill yet, but I know I owe this guy 50 grand next Friday.","08:22","08:26",2,"Levi Morehouse"
"And so like a place where in the UI somebody could go in and put in what it is, define it, describe it, whether it's a vendor name or just a description and the week that it's going to happen and somehow to prompt them to keep that updated so it doesn't get stale and they forget it's there kind of a thing.","08:27","08:45",2,"Levi Morehouse"
"So like the same on the revenue side, like a place to put in like a bespoke.","08:45","08:50",2,"Levi Morehouse"
"Not something we can learn from history, not something that currently lives in the system of record, but something I know or something I expect.","08:50","08:57",2,"Levi Morehouse"
"And that to me is where having that, making it clear, having an audit log on it, but being able to keep it fresh is like truly where the difference of like what everybody could do this pretty simply and why it doesn't usually work is like that tiny gap of the human knowledge that doesn't currently reside in a system of record.","08:58","09:17",2,"Levi Morehouse"
"From there again, it's pretty simple.","09:21","09:22",2,"Levi Morehouse"
"We can do a lot more beyond this Steve, as you even talked about.","09:22","09:25",2,"Levi Morehouse"
"But like if you can nail this, it's like you're tapping into the bank activity, you're tapping into ap, Arkansas and then giving a little UI to input unique stuff and it kind of makes sense.","09:25","09:41",2,"Levi Morehouse"
"The trick is like that AP Piece where some of those vendors have a bill sitting there that's already in some AP is not a normal vendor and it's going to get paid.","09:41","09:52",2,"Levi Morehouse"
"So it's like being able to not double count that by looking at trends to know am I counting that twice?","09:52","09:58",2,"Levi Morehouse"
"So there's a little hair on that part.","09:58","10:01",2,"Levi Morehouse"
"That's my overview.","10:09","10:10",2,"Levi Morehouse"
"You guys can talk or I can, you know, that's what that was kind of the.","10:10","10:13",2,"Levi Morehouse"
"Not, not rocket science, but you know, a little bit of stuff and makes it a little hairy, a little confusing.","10:14","10:21",2,"Levi Morehouse"
"And we end up doing it kind of different for different clients, but same kind of basic components.","10:21","10:25",2,"Levi Morehouse"
"This is super helpful.","10:27","10:28",0,"Steve Simpson"
"A couple questions.","10:29","10:30",0,"Steve Simpson"
"Are you the ones actually doing payroll and so your.","10:30","10:34",0,"Steve Simpson"
"You would have expectation this pool would do that too or mainly just document it as an accounts payable requirement that you would track.","10:36","10:45",0,"Steve Simpson"
"We kind of do payroll sometimes, but in general payroll is pretty steady with our clients at least.","10:54","10:58",2,"Levi Morehouse"
"So it's like you just look at the trends to forecast the payroll and you know, if they're going to let somebody go or add somebody, you know, we'll kind of incorporate that and think about it a little bit.","10:58","11:07",2,"Levi Morehouse"
"But in general, yeah, payrolls just kind of based on the history.","11:07","11:16",2,"Levi Morehouse"
"But I mean, are you actively going in and executing payroll through gusto or through some other tool yourself or is this mainly just keeping accounts because you know this is going to be part of your AP.","11:18","11:30",0,"Steve Simpson"
"Usually.","11:39","11:40",2,"Levi Morehouse"
"I mean sometimes we initiate it, sometimes they do.","11:40","11:42",2,"Levi Morehouse"
"In any case it sinks into QuickBooks like when it happens immediately.","11:43","11:46",2,"Levi Morehouse"
"So as payrolls actually run, we know it.","11:47","11:49",2,"Levi Morehouse"
"But if I want to look out 13 weeks, it's not based on running it's based on what the trend has been.","11:49","11:55",2,"Levi Morehouse"
"Sure.","11:55","11:56",0,"Steve Simpson"
"I'll circle back around to the 13 weeks part.","12:03","12:06",0,"Steve Simpson"
"Can we scroll back up to some of the.","12:07","12:09",0,"Steve Simpson"
"Thanks.","12:10","12:10",0,"Steve Simpson"
"You had mentioned that you would need to see bank feeds.","12:13","12:16",0,"Steve Simpson"
"When we talked a couple days ago, it was the sort of bank balances that were reading off of QuickBooks which only registers payments that have cleared or like transactions that have cleared.","12:16","12:31",0,"Steve Simpson"
"It wasn't necessarily a plaid feed of like pending things that are coming in.","12:32","12:38",0,"Steve Simpson"
"Is that still like how you guys run it or are you using an external source to get a couple days heads up?","12:38","12:47",0,"Steve Simpson"
"So QuickBooks bank balance is better if someone's completely on top of putting the actual bank activity into it.","12:49","13:01",2,"Levi Morehouse"
"So actual activity from the bank is the most reliable.","13:02","13:05",2,"Levi Morehouse"
"Sometimes that sits in a QuickBooks queue that you can't access.","13:06","13:09",2,"Levi Morehouse"
"They don't have APIs for it.","13:09","13:10",2,"Levi Morehouse"
"You can only see it after someone's transacted in it.","13:10","13:13",2,"Levi Morehouse"
"That's like their special sauce part of their tech and they don't let people tap into it.","13:13","13:16",2,"Levi Morehouse"
"So if that's up to date, then if you have the QuickBooks back record, you have both all of the activity from the bank that's actually happened and everything that you put into QuickBooks that will happen into the future.","13:17","13:29",2,"Levi Morehouse"
"So like that's a good source.","13:30","13:31",2,"Levi Morehouse"
"What normally happens is that's dated.","13:31","13:34",2,"Levi Morehouse"
"There's like a lag of days, weeks, a month in terms of pushing all that into QuickBooks.","13:34","13:39",2,"Levi Morehouse"
"So QuickBooks now is, has a gap and the bank is a better source of data.","13:39","13:44",2,"Levi Morehouse"
"That's where like with your tool, the more it relies on people doing perfect bookkeeping every day, the less useful it becomes and the more you would want to like rely on the bank as that source of truth.","13:45","13:55",2,"Levi Morehouse"
"So this is where these kinds of systems tend to get hung up and the entrepreneurs tend to just go back to looking at the bank because they can't trust the accounting system.","13:57","14:05",2,"Levi Morehouse"
"And these things get cleared into the bank through the bookkeeper sort of verifying all the transactions on the bank chart of accounts.","14:08","14:17",0,"Steve Simpson"
"Is that what you're saying like that it takes a month to clear sometimes.","14:18","14:22",0,"Steve Simpson"
"It doesn't take a month to clear, it takes whenever a person goes in and clears it.","14:23","14:26",2,"Levi Morehouse"
"Okay, it's there every single day.","14:26","14:28",2,"Levi Morehouse"
"Like the bank and QuickBooks have the same data like within the same day almost, maybe within.","14:28","14:34",2,"Levi Morehouse"
"It probably updates by the minute.","14:34","14:35",2,"Levi Morehouse"
"At this point the it goes from the bank into this like holding queue in QuickBooks where QuickBooks tries to auto categorize, match to things that already exist.","14:35","14:44",2,"Levi Morehouse"
"It's a nice, it's a nice module.","14:44","14:46",2,"Levi Morehouse"
"Most companies have somebody going into that once a month, sometimes once a week, very rarely daily.","14:47","14:56",2,"Levi Morehouse"
"And then once that's been matched and pushed through, now QuickBooks in the bank are equal on everything that's happened.","14:56","15:01",2,"Levi Morehouse"
"And QuickBooks then has things that will happen in the future that the bank hasn't seen yet.","15:01","15:06",2,"Levi Morehouse"
"So after that process is run, QuickBooks is the best source of truth by a lot prior to that process being run.","15:06","15:14",2,"Levi Morehouse"
"Bank's a better source of truth because oftentimes something's happened in the bank that QuickBooks is unaware of.","15:14","15:18",2,"Levi Morehouse"
"Okay, how much is, are these sort of invoices that are coming in or bills that are going out, you catching up to credit card spend, you know, by certain officers who have that or business owners who have that.","15:20","15:39",0,"Steve Simpson"
"And so you're sort of always in a Reaction mode or are most expenses run through you for your team and so you're sort of helping them in that weekly cash call or however regularly you do this, making decisions on which bills to pay and that kind of stuff.","15:41","15:59",0,"Steve Simpson"
"Your question is, how much are we in charge of versus the client themselves?","16:03","16:07",2,"Levi Morehouse"
"Yeah.","16:08","16:08",0,"Steve Simpson"
"So I was talking to another CPA friend of mine, and they host a weekly cash call in which they have like, all the bills, all the invoices, and they basically walk through which bills do we want to pay?","16:08","16:19",0,"Steve Simpson"
"Who do you need to go knock on the door?","16:19","16:22",0,"Steve Simpson"
"It makes moving in terms of payment.","16:22","16:25",0,"Steve Simpson"
"It sounded like when we talked a couple days ago, maybe you guys don't have any good calls.","16:25","16:30",0,"Steve Simpson"
"But I was just thinking through that.","16:30","16:32",0,"Steve Simpson"
"What does that mean in terms of, are they just making all the transactions and you're trying to make sure that the books stay synced up in terms of like they're doing a lot of spend on credit card versus you guys are actually sort of managing invoices and making payments as bills and ap.","16:32","16:51",0,"Steve Simpson"
"For the most part, we manage it all.","16:53","16:55",2,"Levi Morehouse"
"And we don't really have to have calls to talk about it unless they're running low on cash, which is a couple clients at any given time.","16:55","17:00",2,"Levi Morehouse"
"you know, we pay what's due, when it's due, they approve it.","17:01","17:05",2,"Levi Morehouse"
"So, like, everything's got proper workflow, but there's not a lot of thought about that part of things.","17:05","17:10",2,"Levi Morehouse"
"Okay.","17:11","17:11",0,"Steve Simpson"
"And workflow is like, you guys set up a set of thresholds or whatever, how you want to run the business, or you actually send them a list of things that they need to approve, and then that just sort of happens.","17:11","17:22",0,"Steve Simpson"
"Async.","17:22","17:23",0,"Steve Simpson"
"Yeah, that all runs through RAMP for us, if you've seen Ramp.","17:23","17:26",2,"Levi Morehouse"
"So the bill gets uploaded, a vision model extracts everything, tries to code it.","17:27","17:31",2,"Levi Morehouse"
"We have somebody offshore that actually codes it.","17:32","17:34",2,"Levi Morehouse"
"Everything's then routed for approval based on that client's preferences.","17:35","17:38",2,"Levi Morehouse"
"So the bill comes in, we own getting it into the system, it goes and sits with one of them to approve that it should be paid, maybe a sequence of them based on who the vendor is, how much money is there, etc.","17:38","17:49",2,"Levi Morehouse"
"It Ultimately then, once approved, it goes to be paid on the due date, you know, or whatever.","17:49","17:55",2,"Levi Morehouse"
"There's.","17:55","17:56",2,"Levi Morehouse"
"We could say pay it five days early.","17:56","17:57",2,"Levi Morehouse"
"We could, you know, but we set that as a setting in the system and that just runs.","17:57","18:01",2,"Levi Morehouse"
"It pushes into QuickBooks, tells us all that.","18:01","18:04",2,"Levi Morehouse"
"So that whole piece is super automated, no meeting needed.","18:05","18:09",2,"Levi Morehouse"
"Really pretty slick.","18:09","18:10",2,"Levi Morehouse"
"Related to that.","18:12","18:12",0,"Steve Simpson"
"How.","18:12","18:13",0,"Steve Simpson"
"How then would you see this Tool interacting like with a ramp in terms of responsibilities or jobs to be done.","18:13","18:20",0,"Steve Simpson"
"If like a lot of firms are using RAMP now to manage the just like bill ingestion and turn it into something that needs to be paid and then have some policies wrapped around it, do you view this tool actually potentially owning that experience?","18:21","18:36",0,"Steve Simpson"
"If people don't want to, they don't need all the permissions, workflow that ramp provides, things like that.","18:36","18:42",0,"Steve Simpson"
"Are you saying use it in place of ramp?","18:45","18:47",2,"Levi Morehouse"
"Yeah.","18:48","18:48",0,"Steve Simpson"
"I don't think it.","18:53","18:53",2,"Levi Morehouse"
"I mean I think it would cost a hundred million dollars to use it in place of ramp.","18:53","18:58",2,"Levi Morehouse"
"I think with that said, you know the thing that happens in ramp is it's going to auto approve things to pay ramps, not paying attention to how.","18:59","19:05",2,"Levi Morehouse"
"Much cash you actually have.","19:05","19:06",1,"Matt Yonkman"
"So this tool is almost a check of should we stop that from being thing, should we add an approval step if we're low on cash or we forecast into the future that cash is low.","19:08","19:18",2,"Levi Morehouse"
"So like ramp's not taking those things into account?","19:18","19:20",2,"Levi Morehouse"
"I wouldn't.","19:21","19:22",2,"Levi Morehouse"
"I think the workflow for what gets paid like ramp's doing an important thing of here's something I owe, is it coded correctly?","19:22","19:29",2,"Levi Morehouse"
"Second is it approved appropriately?","19:30","19:32",2,"Levi Morehouse"
"And then the third piece that RAMP doesn't really think about is do I have the money to pay it?","19:33","19:36",2,"Levi Morehouse"
"This to me tells me, do I have the money to pay it?","19:37","19:39",2,"Levi Morehouse"
"But those other things are critically important, really hard to do, and ramp does it really well.","19:40","19:43",2,"Levi Morehouse"
"So I think for clients where CACHE is an issue, the two systems would be working in conjunction to some extent.","19:44","19:51",2,"Levi Morehouse"
"And more importantly, your system simply needs to ramp and QuickBooks have the deep connectivity.","19:53","19:58",2,"Levi Morehouse"
"You probably don't need to worry about getting ramp connectivity.","19:58","20:01",2,"Levi Morehouse"
"As long as you have QuickBooks access, you'll see everything that's going on in ramp.","20:01","20:06",2,"Levi Morehouse"
"Okay, yeah.","20:09","20:12",0,"Steve Simpson"
"So if all approvals are happening through ramp, then my system, let's say if we check that there isn't enough cache, would have to be like the last block, not blocker, but like a secondary layer of APprovals that's more about cache Runway than it is about is this the right vendor, is this the right amount, is this the right time?","20:12","20:36",0,"Steve Simpson"
"That kind of stuff.","20:36","20:37",0,"Steve Simpson"
"Correct?","20:39","20:39",2,"Levi Morehouse"
"Yep, exactly.","20:39","20:40",2,"Levi Morehouse"
"Yours is simply saying based on all this information from ap, AR and bank, how much cash do I have today, how much will I have at the end of the week, how much will I have at the end of next week, the week after, etc.","20:41","20:53",2,"Levi Morehouse"
"Nobody's really synthesizing all those things at.","20:53","20:55",2,"Levi Morehouse"
"This point very well.","20:55","20:57",1,"Matt Yonkman"
"Okay.","20:58","20:58",0,"Steve Simpson"
"Anything on the AR side, I know we have maybe eight minutes left.","21:00","21:04",0,"Steve Simpson"
"It seems like at least for your client base, they're doing a good chunk of regular stuff through Stripe which has a good API.","21:07","21:16",0,"Steve Simpson"
"Major bills are coming in through checks and stuff like that or major gifts.","21:18","21:22",0,"Steve Simpson"
"Like you don't have vendors like I was originally targeting professional services so they might be doing a book of work, sending out an invoice, waiting 45 days to get paid.","21:27","21:39",0,"Steve Simpson"
"There's a lot of, you know, things around reminding people kind of like how i1 does their collection stuff.","21:40","21:47",0,"Steve Simpson"
"Yeah, yeah.","21:47","21:48",2,"Levi Morehouse"
"In general QuickBooks so some, you know, companies are using like a donor management system or in the for profit space, you know, in a point of sale or a crM or ERP that's doing invoicing for some specific stuff.","21:49","22:08",2,"Levi Morehouse"
"Most use cases these days, QuickBooks is actually that system and it actually has a lot of that at this point.","22:09","22:15",2,"Levi Morehouse"
"It has pretty smart ar, it has reminders, it has so it again, I don't know that's a space that is as ripe or needy.","22:15","22:24",2,"Levi Morehouse"
"But I do think the synthesis between it all is pretty interesting.","22:24","22:27",2,"Levi Morehouse"
"And it's something that when I think about selling to accountants, selling them a tool for 10 or $15 a month is interesting but selling them the ability to sell a service to a client for an extra 500 or thousand a month is worth a lot more to them if you automate it.","22:27","22:44",2,"Levi Morehouse"
"So if you can take this, turn it into a really sharp email or PDF or UI or both and it auto send but it looks like a human put a lot of thought into like what these steps are.","22:45","22:58",2,"Levi Morehouse"
"That's a high value.","22:59","23:00",2,"Levi Morehouse"
"Like you're actually automating advisory anyway.","23:00","23:04",2,"Levi Morehouse"
"So AR and collection stuff is great.","23:04","23:06",2,"Levi Morehouse"
"It just, I think that's a more solved problem than this thing we're talking about here.","23:06","23:10",2,"Levi Morehouse"
"Not do it but it's just QuickBooks does it pretty well and I think they'll continue to do it better over time.","23:11","23:17",2,"Levi Morehouse"
"Agreed.","23:18","23:18",0,"Steve Simpson"
"I mainly was thinking of in terms of how well you do AR and how well you do AP actually controls the accordion.","23:18","23:25",0,"Steve Simpson"
"How much cash you have on hand or what levers do you have access to?","23:25","23:29",0,"Steve Simpson"
"So I wasn't quite sure they expose APIs for that.","23:29","23:34",0,"Steve Simpson"
"So whether that was part of the secret sauce of not just can they do it but can you give more dials inside of this tool in order to make QuickBooks seeing how you want it to sing.","23:34","23:49",0,"Steve Simpson"
"Got it.","23:49","23:50",2,"Levi Morehouse"
"Yeah.","23:51","23:52",2,"Levi Morehouse"
"There's potentially something there I'd have to look at that use case more.","23:52","23:57",2,"Levi Morehouse"
"Okay, last five minutes or so.","23:58","24:02",0,"Steve Simpson"
"What kind of experience are you thinking?","24:03","24:05",0,"Steve Simpson"
"You guys have done a really great job showing me sort of the core parts in a spreadsheet format.","24:05","24:11",0,"Steve Simpson"
"To what degree do you feel like the UI experience people would want to work through Dashboard kind of seeing where my clients at, maybe any given client.","24:13","24:26",0,"Steve Simpson"
"I want to be able to see sort of the main quick hits that their current state is and then sort of like action space of like what can I do about that?","24:26","24:36",0,"Steve Simpson"
"You had just mentioned like you would love to see that automated but I'm imagining people will also want to sort of let the product earn that level of trust by having a phase where they still get to do stuff and then eventually it becomes more settings oriented or intelligence oriented.","24:37","24:55",0,"Steve Simpson"
"What would be like magic wand.","24:57","24:58",0,"Steve Simpson"
"I would love to see this as the experience I use to handle this part of my job.","24:58","25:03",0,"Steve Simpson"
"What do you think Matt?","25:05","25:06",2,"Levi Morehouse"
"Dashboard with different where cash is at future points, low watermark between those points and then expandable to see what it's assuming to make sure it's making the right assumptions in between those high level points.","25:08","25:22",1,"Matt Yonkman"
"Like I want to see where we're at the end of the month, I want to see where we're at in three months.","25:22","25:26",1,"Matt Yonkman"
"I want to know what the lowest bank balance might be projected during that time.","25:26","25:31",1,"Matt Yonkman"
"But I also want to expand and see everything that makes that up and make sure it's assuming correctly.","25:31","25:37",1,"Matt Yonkman"
"So collapse at the highest level but expand to look in at those different points in time.","25:39","25:44",1,"Matt Yonkman"
"Kind of how I see it.","25:46","25:47",1,"Matt Yonkman"
